,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
18,9.0,Live Chat-Google Organic,Sales-Agent-3,Bangalore,Mode-1,Potential
19,19.0,Call,Sales-Agent-4,Other Locations,Mode-5,Potential
24,18.0,Website,Sales-Agent-11,Trivandrum,Mode-1,Potential
25,15.0,Website,Sales-Agent-7,Hyderabad,Mode-1,Not Responding
26,18.0,Call,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
27,18.0,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-3,Not Responding
28,27.0,Call,Sales-Agent-11,Chennai,Mode-5,In Progress Positive
29,19.0,Live Chat-Direct,Sales-Agent-4,UK,Mode-2,Potential
30,19.0,Live Chat-Direct,Sales-Agent-4,UK,Mode-4,Just Enquiry
31,18.0,Call,Sales-Agent-7,Bangalore,Mode-1,Not Responding
32,27.0,Live Chat-Direct,Sales-Agent-11,Hyderabad,Mode-3,Potential
33,9.0,By Recommendation,Sales-Agent-7,Bangalore,Mode-4,Potential
34,9.0,Call,Sales-Agent-4,Bangalore,Mode-1,Potential
35,9.0,Website,Sales-Agent-11,Bangalore,Mode-1,Potential
36,19.0,Website,Sales-Agent-7,Other Locations,Mode-1,Junk Lead
37,18.0,Live Chat-Google Organic,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
38,5.0,Live Chat-Direct,Sales-Agent-7,USA,Mode-3,In Progress Positive
39,19.0,Live Chat-Direct,Sales-Agent-4,Delhi,Mode-4,In Progress Positive
40,9.0,Call,Sales-Agent-4,Chennai,Mode-5,Potential
41,9.0,Live Chat-Direct,Sales-Agent-11,UAE,Mode-3,Just Enquiry
42,18.0,Call,Sales-Agent-9,Chennai,Mode-1,Not Responding
43,2.0,Call,Sales-Agent-9,Other Locations,Mode-5,In Progress Positive
44,9.0,Call,Sales-Agent-11,Bangalore,Mode-5,In Progress Positive
45,15.0,Call,Sales-Agent-11,Other Locations,Mode-5,Not Responding
46,15.0,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
47,19.0,Live Chat-Direct,Sales-Agent-4,Trivandrum,Mode-5,Not Responding
