,Created,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
18,2018-11-13 18:51:00,9.0,16,4,1,0,9
19,2018-11-13 18:48:00,19.0,2,5,10,4,9
24,2018-11-13 17:09:00,18.0,24,1,13,0,9
25,2018-11-13 16:49:00,15.0,24,8,6,0,7
26,2018-11-13 16:37:00,18.0,2,8,1,0,2
27,2018-11-13 16:35:00,18.0,14,10,10,2,7
28,2018-11-13 16:09:00,27.0,2,1,2,4,2
29,2018-11-13 15:50:00,19.0,14,5,15,1,9
30,2018-11-13 15:30:00,19.0,14,5,15,3,4
31,2018-11-13 15:16:00,18.0,2,8,1,0,7
32,2018-11-13 15:15:00,27.0,14,1,6,2,9
33,2018-11-13 14:11:00,9.0,0,8,1,3,9
34,2018-11-13 13:53:00,9.0,2,5,1,0,9
35,2018-11-13 13:52:00,9.0,24,1,1,0,9
36,2018-11-13 13:34:00,19.0,24,8,10,0,3
37,2018-11-13 13:15:00,18.0,16,10,1,0,2
38,2018-11-13 12:50:00,5.0,14,8,16,2,2
39,2018-11-13 12:40:00,19.0,14,5,3,3,2
40,2018-11-13 12:26:00,9.0,2,5,2,4,9
41,2018-11-13 12:15:00,9.0,14,1,14,2,4
42,2018-11-13 11:56:00,18.0,2,10,2,0,7
43,2018-11-13 11:29:00,2.0,2,10,10,4,2
44,2018-11-13 11:29:00,9.0,2,1,1,4,2
45,2018-11-13 11:28:00,15.0,2,1,10,4,7
46,2018-11-13 11:27:00,15.0,2,8,10,4,7
47,2018-11-13 11:25:00,19.0,14,5,13,4,7
48,2018-11-13 11:20:00,15.0,2,8,10,4,7
49,2018-11-13 11:15:00,3.0,2,5,10,4,2
50,2018-11-13 11:10:00,18.0,2,5,1,4,2
51,2018-11-13 11:09:00,15.0,2,1,10,4,9
52,2018-11-13 11:09:00,9.0,2,5,9,4,4
53,2018-11-13 11:08:00,15.0,2,8,10,4,7
54,2018-11-13 11:08:00,9.0,2,10,1,0,9
55,2018-11-13 11:07:00,19.0,2,10,1,0,9
56,2018-11-13 11:00:00,9.0,4,10,2,0,0
57,2018-11-13 10:30:00,5.0,14,10,14,2,2
58,2018-11-13 10:18:00,27.0,24,5,6,0,9
59,2018-11-13 09:21:00,18.0,24,1,10,2,1
60,2018-11-13 09:00:00,9.0,24,10,1,0,9
61,2018-11-12 22:33:00,18.0,24,5,1,0,9
62,2018-11-12 20:30:00,19.0,24,10,10,0,2
63,2018-11-12 20:28:00,19.0,24,8,3,2,4
64,2018-11-12 19:43:00,19.0,24,1,2,0,2
65,2018-11-12 18:55:00,15.0,24,10,10,2,4
66,2018-11-12 18:38:00,19.0,2,1,1,4,2
67,2018-11-12 18:16:00,19.0,2,5,2,0,9
68,2018-11-12 17:55:00,27.0,14,5,10,2,9
69,2018-11-12 17:25:00,18.0,12,8,10,2,2
70,2018-11-12 17:23:00,18.0,24,1,2,0,9
71,2018-11-12 15:25:00,9.0,14,10,14,2,2
72,2018-11-12 15:21:00,19.0,24,1,10,0,2
73,2018-11-12 15:19:00,9.0,2,8,6,0,2
74,2018-11-12 15:17:00,15.0,2,10,10,4,3
75,2018-11-12 15:16:00,15.0,2,8,10,4,7
76,2018-11-12 15:15:00,15.0,2,1,10,4,3
77,2018-11-12 15:15:00,15.0,2,5,10,4,4
78,2018-11-12 15:15:00,25.0,14,1,1,0,7
79,2018-11-12 15:08:00,10.0,24,5,1,4,9
80,2018-11-12 14:31:00,18.0,24,1,10,0,7
81,2018-11-12 14:30:00,9.0,14,10,1,0,2
82,2018-11-12 14:13:00,9.0,2,5,2,1,2
83,2018-11-12 13:45:00,18.0,10,10,2,0,2
84,2018-11-12 13:41:00,19.0,2,1,1,4,2
85,2018-11-12 13:35:00,18.0,2,1,3,4,2
86,2018-11-12 13:17:00,15.0,2,10,10,4,7
87,2018-11-12 13:17:00,9.0,2,1,1,4,9
88,2018-11-12 13:16:00,15.0,2,8,10,4,3
89,2018-11-12 13:16:00,15.0,2,1,10,4,3
90,2018-11-12 13:15:00,15.0,2,5,10,4,7
91,2018-11-12 13:14:00,15.0,2,10,10,4,3
92,2018-11-12 13:13:00,15.0,2,8,10,4,2
93,2018-11-12 13:11:00,9.0,2,10,1,4,2
94,2018-11-12 13:11:00,15.0,2,5,10,4,4
95,2018-11-12 13:05:00,19.0,14,1,2,0,9
96,2018-11-12 13:01:00,27.0,24,8,10,0,3
97,2018-11-12 13:00:00,15.0,2,4,10,4,8
98,2018-11-12 12:10:00,18.0,10,8,1,0,2
99,2018-11-12 12:07:00,19.0,4,10,1,0,0
100,2018-11-12 11:15:00,19.0,24,10,1,0,2
101,2018-11-12 10:50:00,18.0,10,5,9,0,9
102,2018-11-12 09:10:00,27.0,14,10,1,0,7
103,2018-11-12 08:48:00,18.0,24,8,2,0,9
104,2018-11-12 07:10:00,18.0,24,10,10,2,3
105,2018-11-11 21:30:00,19.0,24,10,10,2,3
106,2018-11-11 20:30:00,5.0,15,10,10,2,7
107,2018-11-11 18:35:00,18.0,24,10,9,2,2
108,2018-11-11 18:04:00,15.0,24,10,10,0,7
109,2018-11-11 17:53:00,18.0,24,10,1,0,2
110,2018-11-11 16:29:00,19.0,2,10,1,0,2
111,2018-11-11 15:34:00,10.0,24,10,1,2,2
