,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
18,9.0,16,4,1,0,9
19,19.0,2,5,10,4,9
24,18.0,24,1,13,0,9
25,15.0,24,8,6,0,7
26,18.0,2,8,1,0,2
27,18.0,14,10,10,2,7
28,27.0,2,1,2,4,2
29,19.0,14,5,15,1,9
30,19.0,14,5,15,3,4
31,18.0,2,8,1,0,7
32,27.0,14,1,6,2,9
33,9.0,0,8,1,3,9
34,9.0,2,5,1,0,9
35,9.0,24,1,1,0,9
36,19.0,24,8,10,0,3
37,18.0,16,10,1,0,2
38,5.0,14,8,16,2,2
39,19.0,14,5,3,3,2
40,9.0,2,5,2,4,9
41,9.0,14,1,14,2,4
42,18.0,2,10,2,0,7
43,2.0,2,10,10,4,2
44,9.0,2,1,1,4,2
45,15.0,2,1,10,4,7
46,15.0,2,8,10,4,7
47,19.0,14,5,13,4,7
48,15.0,2,8,10,4,7
49,3.0,2,5,10,4,2
50,18.0,2,5,1,4,2
51,15.0,2,1,10,4,9
52,9.0,2,5,9,4,4
53,15.0,2,8,10,4,7
54,9.0,2,10,1,0,9
55,19.0,2,10,1,0,9
56,9.0,4,10,2,0,0
57,5.0,14,10,14,2,2
58,27.0,24,5,6,0,9
59,18.0,24,1,10,2,1
60,9.0,24,10,1,0,9
61,18.0,24,5,1,0,9
62,19.0,24,10,10,0,2
63,19.0,24,8,3,2,4
64,19.0,24,1,2,0,2
65,15.0,24,10,10,2,4
66,19.0,2,1,1,4,2
67,19.0,2,5,2,0,9
68,27.0,14,5,10,2,9
69,18.0,12,8,10,2,2
70,18.0,24,1,2,0,9
71,9.0,14,10,14,2,2
72,19.0,24,1,10,0,2
73,9.0,2,8,6,0,2
74,15.0,2,10,10,4,3
75,15.0,2,8,10,4,7
76,15.0,2,1,10,4,3
77,15.0,2,5,10,4,4
78,25.0,14,1,1,0,7
79,10.0,24,5,1,4,9
80,18.0,24,1,10,0,7
81,9.0,14,10,1,0,2
82,9.0,2,5,2,1,2
83,18.0,10,10,2,0,2
84,19.0,2,1,1,4,2
85,18.0,2,1,3,4,2
86,15.0,2,10,10,4,7
87,9.0,2,1,1,4,9
88,15.0,2,8,10,4,3
89,15.0,2,1,10,4,3
90,15.0,2,5,10,4,7
91,15.0,2,10,10,4,3
92,15.0,2,8,10,4,2
93,9.0,2,10,1,4,2
94,15.0,2,5,10,4,4
95,19.0,14,1,2,0,9
96,27.0,24,8,10,0,3
97,15.0,2,4,10,4,8
98,18.0,10,8,1,0,2
99,19.0,4,10,1,0,0
100,19.0,24,10,1,0,2
101,18.0,10,5,9,0,9
102,27.0,14,10,1,0,7
103,18.0,24,8,2,0,9
104,18.0,24,10,10,2,3
105,19.0,24,10,10,2,3
106,5.0,15,10,10,2,7
107,18.0,24,10,9,2,2
108,15.0,24,10,10,0,7
109,18.0,24,10,1,0,2
110,19.0,2,10,1,0,2
111,10.0,24,10,1,2,2
112,19.0,14,10,7,2,9
113,19.0,12,10,1,0,2
114,18.0,14,10,10,0,2
115,18.0,14,10,1,0,2
116,19.0,14,10,10,4,2
117,18.0,24,10,1,0,2
119,19.0,24,10,1,2,2
120,20.0,14,1,3,2,7
121,18.0,14,10,2,0,2
122,18.0,24,10,1,0,2
123,18.0,24,1,10,2,9
124,5.0,2,10,1,0,2
125,19.0,2,10,3,0,9
139,20.0,14,4,1,2,7
140,18.0,14,10,12,2,9
141,18.0,2,10,1,0,2
142,18.0,10,1,1,0,9
143,19.0,11,5,1,0,2
144,27.0,14,10,6,2,7
145,15.0,24,4,3,2,7
146,18.0,2,1,10,2,7
147,27.0,24,8,3,2,2
148,18.0,2,4,2,0,4
149,18.0,2,10,2,0,2
150,18.0,2,4,2,0,9
151,5.0,14,4,1,0,7
152,15.0,24,8,10,0,7
153,15.0,2,1,10,4,3
154,15.0,2,5,10,4,1
155,15.0,2,10,10,4,4
156,15.0,2,8,10,4,4
157,18.0,2,10,1,0,2
158,15.0,2,4,10,4,7
159,15.0,24,8,11,4,2
160,18.0,14,10,1,0,0
161,11.0,2,8,2,4,2
162,19.0,14,10,10,3,2
163,27.0,14,4,1,0,7
164,19.0,14,4,1,0,9
165,18.0,14,10,6,2,2
166,18.0,2,1,2,4,9
167,18.0,24,10,10,0,2
168,19.0,24,4,10,0,3
169,18.0,10,1,2,0,9
170,15.0,2,10,10,4,4
171,19.0,2,10,2,4,9
172,15.0,2,4,10,4,7
173,15.0,2,5,10,4,3
174,15.0,2,8,10,4,3
175,19.0,24,8,10,0,3
176,18.0,14,5,1,0,7
177,25.0,4,10,1,0,9
178,19.0,5,4,2,0,9
179,9.0,14,10,1,0,2
180,9.0,14,5,16,2,4
181,19.0,2,10,1,0,9
182,18.0,10,1,13,4,4
183,18.0,2,10,2,0,2
184,15.0,2,1,10,4,3
185,27.0,2,5,10,4,1
186,15.0,2,10,10,4,7
187,21.0,2,5,2,4,2
188,15.0,2,8,10,4,4
189,27.0,2,4,2,4,4
190,15.0,2,8,10,4,3
191,9.0,2,4,1,4,9
192,18.0,2,10,2,4,9
193,18.0,14,1,10,2,4
194,9.0,2,4,1,0,2
195,18.0,24,8,1,0,2
196,9.0,2,5,1,4,0
197,3.0,14,8,16,3,2
198,18.0,2,10,3,0,2
199,18.0,2,10,1,0,9
200,15.0,2,10,10,4,3
201,18.0,2,10,1,4,9
202,15.0,2,8,10,4,7
203,15.0,2,1,10,4,7
204,15.0,24,10,10,4,2
205,18.0,14,8,13,2,2
206,5.0,24,4,10,0,7
207,15.0,24,1,2,0,3
208,18.0,24,8,1,0,0
209,18.0,2,10,2,0,2
210,18.0,2,10,1,0,2
211,18.0,24,8,9,2,3
212,19.0,24,5,1,0,4
213,15.0,24,4,10,0,7
214,18.0,24,1,2,4,9
215,19.0,24,1,10,0,4
216,18.0,24,5,6,0,2
217,19.0,24,4,10,2,3
218,18.0,24,5,1,0,2
219,9.0,24,10,1,0,2
220,18.0,24,8,1,0,0
221,18.0,24,10,10,0,4
222,18.0,24,8,10,4,4
223,19.0,24,5,10,2,2
224,2.0,24,8,11,2,2
225,5.0,2,4,1,0,4
226,18.0,14,8,2,0,2
227,15.0,2,8,10,4,3
228,19.0,2,4,3,4,1
229,15.0,2,8,10,4,3
230,15.0,2,4,10,4,3
231,18.0,14,8,2,0,4
232,18.0,10,4,1,0,4
233,20.0,14,8,10,4,2
234,5.0,14,4,1,0,4
235,18.0,14,8,1,0,2
236,18.0,14,4,1,0,0
237,5.0,10,8,10,2,4
238,20.0,7,4,1,0,0
239,18.0,12,4,10,0,1
240,18.0,12,8,10,0,2
241,5.0,14,8,1,0,2
242,18.0,14,4,7,2,3
243,15.0,14,4,16,2,7
244,19.0,14,8,9,2,4
245,19.0,14,4,1,0,9
246,15.0,2,4,10,4,1
247,15.0,2,4,10,4,4
248,15.0,2,4,10,4,7
249,15.0,2,4,10,4,7
250,19.0,14,8,2,0,2
251,9.0,2,8,1,0,2
252,27.0,24,8,2,2,9
253,9.0,24,8,3,2,4
254,19.0,24,4,10,0,2
255,18.0,24,4,1,0,7
256,27.0,24,8,2,0,2
257,18.0,24,8,1,0,2
258,27.0,24,8,1,0,2
259,19.0,24,8,10,2,2
260,5.0,24,4,10,2,7
261,18.0,24,8,7,2,4
262,18.0,0,10,1,0,9
263,5.0,24,8,10,4,4
264,25.0,14,8,1,0,2
265,18.0,2,10,9,0,4
266,5.0,14,8,10,2,2
267,5.0,14,4,1,0,4
268,19.0,14,5,10,2,7
269,9.0,14,10,1,0,2
270,19.0,14,8,0,2,2
271,15.0,24,8,10,4,4
272,1.0,24,4,1,0,1
273,19.0,2,10,9,0,4
274,19.0,2,4,1,0,4
275,1.0,14,10,2,2,7
276,15.0,2,4,10,4,3
277,19.0,2,5,10,4,4
